date,client_id,amount,notes,amount_duplicate
2024-01-01 00:00:00,1832.0,4342.635937079296,note 0,4342.635937079296
2024-01-01 01:00:00,,3819.2339029878544,note 1,3819.2339029878544
2024-01-01 02:00:00,1304.0,3511.909946585932,note 2,3511.909946585932
2024-01-01 03:00:00,1504.0,1527.0940795569238,note 3,1527.0940795569238
2024-01-01 04:00:00,1851.0,505.2971756243155,note 4,505.2971756243155
2024-01-01 05:00:00,1428.0,551.015217413625,note 5,551.015217413625
2024-01-01 06:00:00,1715.0,1614.481827195076,note 6,1614.481827195076
not-a-date,1180.0,4585.719810811149,note 7,4585.719810811149
2024-01-01 08:00:00,1033.0,839.0038195000568,note 8,839.0038195000568
2024-01-01 09:00:00,1816.0,2874.742058436381,note 9,2874.742058436381
2024-01-01 10:00:00,1630.0,385.8228692355465,note 10,385.8228692355465
2024-01-01 11:00:00,1667.0,4168.062863327483,note 11,4168.062863327483
2024-01-01 12:00:00,1788.0,3939.6927694077513,note 12,3939.6927694077513
2024-01-01 13:00:00,1170.0,139.0038846011871,note 13,139.0038846011871
2024-01-01 14:00:00,1646.0,4210.491750238651,note 14,4210.491750238651
2024-01-01 15:00:00,1944.0,2916.519232444322,note 15,2916.519232444322
2024-01-01 16:00:00,1993.0,2487.2063979312516,note 16,2487.2063979312516
2024-01-01 17:00:00,1859.0,3273.7269231129926,note 17,3273.7269231129926
2024-01-01 18:00:00,1689.0,2939.095554761784,note 18,2939.095554761784
2024-01-01 19:00:00,1705.0,1186.3917524228611,note 19,1186.3917524228611
2024-01-01 20:00:00,1213.0,4017.876689154885,note 20,4017.876689154885
2024-01-01 21:00:00,1623.0,error,note 21,error
2024-01-01 22:00:00,1419.0,4252.997219265702,note 22,4252.997219265702
2024-01-01 23:00:00,1507.0,2721.5513463352618,note 23,2721.5513463352618
2024-01-02 00:00:00,1617.0,1735.6988068103647,note 24,1735.6988068103647
not-a-date,1234.0,error,note 25,error
2024-01-02 02:00:00,1617.0,3661.199106022738,note 26,3661.199106022738
2024-01-02 03:00:00,1849.0,811.4644640340301,note 27,811.4644640340301
2024-01-02 04:00:00,1756.0,3508.437949284645,note 28,3508.437949284645
2024-01-02 05:00:00,1484.0,1122.345527019963,note 29,1122.345527019963
2024-01-02 06:00:00,1983.0,3074.0747071006567,note 30,3074.0747071006567
2024-01-02 07:00:00,1184.0,850.9236300152467,note 31,850.9236300152467
2024-01-02 08:00:00,,1267.6897166080087,note 32,1267.6897166080087
2024-01-02 09:00:00,1394.0,2329.934656341689,note 33,2329.934656341689
not-a-date,1394.0,3004.890249587134,note 34,3004.890249587134
2024-01-02 11:00:00,1237.0,2007.2201280186978,note 35,2007.2201280186978
2024-01-02 12:00:00,1580.0,3454.972482802284,note 36,3454.972482802284
2024-01-02 13:00:00,1887.0,4216.132938300436,note 37,4216.132938300436
2024-01-02 14:00:00,1733.0,error,note 38,error
2024-01-02 15:00:00,1028.0,2496.7846386570764,note 39,2496.7846386570764
2024-01-02 16:00:00,,3256.4657805308257,note 40,3256.4657805308257
2024-01-02 17:00:00,1868.0,2085.405199222201,note 41,2085.405199222201
2024-01-02 18:00:00,1027.0,4037.051889845261,note 42,4037.051889845261
2024-01-02 19:00:00,1170.0,3917.6344483550097,note 43,3917.6344483550097
2024-01-02 20:00:00,1331.0,269.43367925694326,note 44,269.43367925694326
2024-01-02 21:00:00,,1535.8297015979294,note 45,1535.8297015979294
2024-01-02 22:00:00,1559.0,4344.641403539997,note 46,4344.641403539997
2024-01-02 23:00:00,,2339.555695026013,note 47,2339.555695026013
2024-01-03 00:00:00,1732.0,2777.265503178243,note 48,2777.265503178243
not-a-date,1898.0,3649.93126290397,note 49,3649.93126290397
2024-01-03 02:00:00,1683.0,1413.2305608063764,note 50,1413.2305608063764
2024-01-03 03:00:00,1397.0,2762.6052724677097,note 51,2762.6052724677097
2024-01-03 04:00:00,,961.9234591672517,note 52,961.9234591672517
2024-01-03 05:00:00,1758.0,2895.3071317506233,note 53,2895.3071317506233
2024-01-03 06:00:00,1533.0,404.30259936171836,note 54,404.30259936171836
2024-01-03 07:00:00,1876.0,1501.799147794306,note 55,1501.799147794306
2024-01-03 08:00:00,1972.0,1951.3786065426677,note 56,1951.3786065426677
not-a-date,1865.0,3859.7942249456214,note 57,3859.7942249456214
2024-01-03 10:00:00,1650.0,2344.735537429885,note 58,2344.735537429885
2024-01-03 11:00:00,1896.0,646.4034291239499,note 59,646.4034291239499
2024-01-03 12:00:00,1821.0,1778.47052218607,note 60,1778.47052218607
2024-01-03 13:00:00,1742.0,3696.8215153695232,note 61,3696.8215153695232
2024-01-03 14:00:00,1595.0,2579.7040582571,note 62,2579.7040582571
2024-01-03 15:00:00,1604.0,2013.5095571833106,note 63,2013.5095571833106
2024-01-03 16:00:00,1135.0,3173.264601770221,note 64,3173.264601770221
not-a-date,,1646.1893303439076,note 65,1646.1893303439076
2024-01-03 18:00:00,1927.0,error,note 66,error
not-a-date,1308.0,error,note 67,error
2024-01-03 20:00:00,1909.0,1349.517921284494,note 68,1349.517921284494
2024-01-03 21:00:00,1451.0,3051.110656386887,note 69,3051.110656386887
2024-01-03 22:00:00,,2649.5377651632907,note 70,2649.5377651632907
2024-01-03 23:00:00,1038.0,506.693508278887,note 71,506.693508278887
2024-01-04 00:00:00,1618.0,1459.4670452029043,note 72,1459.4670452029043
not-a-date,1411.0,768.4473860157649,note 73,768.4473860157649
2024-01-04 02:00:00,1417.0,805.5233719959912,note 74,805.5233719959912
2024-01-04 03:00:00,1672.0,3928.09884867873,note 75,3928.09884867873
2024-01-04 04:00:00,1568.0,693.1515976924301,note 76,693.1515976924301
not-a-date,1810.0,2953.4423349551753,note 77,2953.4423349551753
2024-01-04 06:00:00,1208.0,3147.1266441851412,note 78,3147.1266441851412
2024-01-04 07:00:00,1439.0,2028.7062523733932,note 79,2028.7062523733932
2024-01-04 08:00:00,1550.0,2529.579909257608,note 80,2529.579909257608
2024-01-04 09:00:00,1974.0,4561.245777305368,note 81,4561.245777305368
2024-01-04 10:00:00,1814.0,3150.222540072987,note 82,3150.222540072987
2024-01-04 11:00:00,,error,note 83,error
2024-01-04 12:00:00,1756.0,4556.712818758577,note 84,4556.712818758577
2024-01-04 13:00:00,1052.0,3688.1556879556115,note 85,3688.1556879556115
2024-01-04 14:00:00,1462.0,4741.215786702217,note 86,4741.215786702217
not-a-date,1522.0,3403.8946138462125,note 87,3403.8946138462125
2024-01-04 16:00:00,1800.0,2965.3758995626313,note 88,2965.3758995626313
2024-01-04 17:00:00,1172.0,3989.732089335377,note 89,3989.732089335377
2024-01-04 18:00:00,1580.0,3282.198584744131,note 90,3282.198584744131
2024-01-04 19:00:00,1921.0,2441.576032268249,note 91,2441.576032268249
2024-01-04 20:00:00,1881.0,1844.1281782299652,note 92,1844.1281782299652
not-a-date,1030.0,3490.4396026898826,note 93,3490.4396026898826
not-a-date,1072.0,2372.581906966561,note 94,2372.581906966561
2024-01-04 23:00:00,1032.0,2833.72428754052,note 95,2833.72428754052
not-a-date,1928.0,1438.877833080213,note 96,1438.877833080213
2024-01-05 01:00:00,1512.0,3489.764712698999,note 97,3489.764712698999
2024-01-05 02:00:00,,4003.5945487766385,note 98,4003.5945487766385
2024-01-05 03:00:00,1717.0,1385.3167185764587,note 99,1385.3167185764587
2024-01-05 04:00:00,1472.0,1300.4960661956425,note 100,1300.4960661956425
2024-01-05 05:00:00,1823.0,2087.547318231597,note 101,2087.547318231597
2024-01-05 06:00:00,,402.8373658372353,note 102,402.8373658372353
2024-01-05 07:00:00,1591.0,1205.115051084788,note 103,1205.115051084788
2024-01-05 08:00:00,1522.0,1587.728384615592,note 104,1587.728384615592
2024-01-05 09:00:00,1090.0,233.62321114637388,note 105,233.62321114637388
2024-01-05 10:00:00,1300.0,2941.6460599466036,note 106,2941.6460599466036
2024-01-05 11:00:00,1858.0,878.8872945875788,note 107,878.8872945875788
2024-01-05 12:00:00,1723.0,3106.3781120242793,note 108,3106.3781120242793
not-a-date,1679.0,3091.3507765128124,note 109,3091.3507765128124
2024-01-05 14:00:00,1114.0,error,note 110,error
2024-01-05 15:00:00,1515.0,4263.465870496498,note 111,4263.465870496498
2024-01-05 16:00:00,1495.0,3795.6471683164505,note 112,3795.6471683164505
2024-01-05 17:00:00,1578.0,3614.0264750830793,note 113,3614.0264750830793
not-a-date,1928.0,795.9397201865603,note 114,795.9397201865603
2024-01-05 19:00:00,1371.0,1063.4569802994013,note 115,1063.4569802994013
2024-01-05 20:00:00,1853.0,3433.9444221390168,note 116,3433.9444221390168
2024-01-05 21:00:00,1038.0,2334.375305658711,note 117,2334.375305658711
2024-01-05 22:00:00,,4536.102591198996,note 118,4536.102591198996
